person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
0.017905574,-1.219308,0.09993331,-0.8636793,-0.29780895,-0.3030099,-0.16444492,-0.23055357,-0.8588152,0.038285393,0.07594184
-0.23326166,-0.6226452,0.18424274,-0.7319401,-0.08727701,-0.70442224,0.01203776,-0.9474848,-0.94484603,0.016191093,-0.10461366
-0.0151782185,-1.6790876,-0.26508683,-1.0001111,0.07574892,-0.2505675,-0.045260515,-0.50731975,-0.18421952,0.028247254,-0.11696891
0.10617437,-1.589836,-0.26244345,-0.7703217,0.56169766,-0.5070941,0.44650713,-0.33567366,-0.45496273,-0.034320693,-0.07554536
0.07466068,0.46431834,-1.3009799,-0.43356362,-1.483461,0.144103,-0.20458719,-0.01287942,-0.35039106,-0.31049535,0.06380217
0.06619281,1.037362,0.25967783,-0.43031096,-0.17262189,-0.42533004,-0.02877066,-0.49375606,-0.8320485,0.037898086,0.019748027
0.083799236,-1.143458,-0.1573709,-0.9537184,-0.07140065,-0.06808291,0.122514054,0.25506866,-0.46925974,-0.2581669,0.005453061
-0.1054305,-0.07483995,-0.29832232,-0.69682026,0.263293,-0.6107624,0.059549585,-0.90250725,-0.5737906,-0.006544613,0.073793344
-0.02960232,0.6381093,-1.1085153,-0.74984306,0.87985355,-0.23828761,0.13365646,-0.83017105,-0.565739,0.047782347,-0.06142133
0.24728337,0.7985045,-1.7840586,-0.80016565,0.5528721,-0.075923465,0.24652168,0.8398779,1.795509,0.08696627,-0.042586736
-0.00799191,-1.2088945,-0.35870087,-0.9440188,0.003084306,-0.5169356,-0.11923512,-1.0612932,-0.44830233,-0.037749186,-0.20083554
-0.13031137,-0.55446994,0.2785201,-1.181475,-0.66863453,1.1574816,-0.1434911,0.38585162,-0.87115574,-0.08799219,-0.14623082
-0.09564339,-1.6217408,0.18419503,-0.74532676,0.53620654,-0.27441597,-0.12841728,0.14385125,-0.750448,0.042607415,-0.044667564
0.044528726,-0.7201268,1.8772321,-0.98692954,-0.044765957,-0.19916907,0.4608319,-0.19603929,4.7777834,0.002746596,-0.12525675
0.42512655,0.25196758,0.8467546,0.18185742,1.1056671,2.0813174,-0.12654176,0.18422103,-0.60442704,-0.03879612,-0.03442872
-0.11150378,-1.3760809,0.23253132,-0.70000255,0.48910052,-0.45653233,-0.046097443,-0.33165526,-0.58832073,0.03112613,-0.07766867
0.023496618,-0.33058015,-0.021606963,-0.9442255,0.42201334,-0.61170435,-0.4401251,0.7138546,-1.0475876,-0.31364062,-0.09358196
0.022294942,-0.37919208,-0.15138799,-0.3652237,-0.29619604,-0.22913828,-0.13210309,-0.38179782,-0.42502195,0.029806543,0.019234553
0.115266696,-0.62453467,-2.0580115,-0.68367904,0.3734287,-0.39304152,-0.13574249,-0.04387614,1.730339,0.030141735,0.13802102
0.064248815,-0.09985135,-0.11168387,-0.90805805,-0.2210751,-0.37884238,-0.1889103,-0.2335343,-0.5668075,0.0047482294,0.015288794
0.09414506,-0.956714,0.14894596,-1.4397626,-0.4793029,1.0451468,-0.003856642,0.7648947,-0.5901537,-0.17751025,-0.11704815
-0.09515116,0.14103432,-0.018882463,-0.7416685,0.22073804,-0.52302873,-0.13813019,0.17015898,-0.8274889,-0.22606494,0.05341257
-0.7452183,0.03857616,-0.022824664,0.322214,0.048537433,-0.5315085,-0.12499101,-0.5210072,-0.8731488,0.020932013,-0.26035392
0.09720702,-0.3276913,0.5614857,0.114668846,-0.19934924,2.8360195,0.0045210933,-0.45334575,-0.47471544,0.03692137,-0.24983548
-0.06902361,-0.11885948,0.08021478,-0.93936235,0.5070222,1.2413381,-0.13460852,0.8398706,-0.56805253,0.0074041425,-0.06426761
0.025889382,0.26552138,1.8184553,-0.8732319,-0.0845885,-0.15516254,-0.11248493,-0.4051651,5.0314713,0.0060467785,-0.015118837
-0.28670797,-1.2798887,-0.17655474,-0.79526514,-1.386146,0.4427418,-0.31873652,-0.002818847,-0.10643846,-0.0076685185,-0.48021868
0.07940885,-0.10238861,1.7957983,-0.00022542907,-0.28150317,1.2379262,0.05379138,0.6670707,3.3351018,0.042461976,-0.096376546
0.055027742,-1.2366239,0.08026094,-0.6056784,-0.1370027,-0.26694193,0.01223181,-0.000812246,-0.7534361,0.044991534,-0.0895487
-0.05070562,0.27462792,-0.26562822,-0.7387136,-1.7905197,-0.76094764,0.0025866912,-1.2704412,-0.19704585,-0.012156659,-0.2828817
0.048826598,-0.73604816,0.2147116,-0.44562608,-0.15802003,-0.24436045,-0.104812466,-0.33990327,-0.9919062,0.03625889,0.14050694
0.10215801,1.225203,0.22560088,-0.48296034,-0.11575577,-0.37482336,-0.0035732987,0.3923972,-0.5869221,0.14265735,-0.103632525
-0.08938232,-1.2857234,0.097139426,-0.8677109,0.24164486,-0.5713276,-0.08993013,-0.64899325,-0.6039376,0.026497727,-0.13824406
-0.00012683496,-1.6454794,-0.3698936,-0.82179385,0.488031,-0.060595524,0.051604368,-0.97524667,-0.4814324,-0.015429719,-0.10812206
0.02745559,-1.3264529,0.22965343,-0.33592087,0.015773237,-0.44976735,0.07527218,-0.6647703,-0.8058049,0.0067957,-0.089535385
-0.13069756,-1.6167223,0.097658455,-0.8502229,0.33117613,-0.11818564,0.069398016,-0.34027785,-0.5776204,-0.2344348,-0.05530031
-0.05254944,-1.535103,0.16413522,-0.65045404,0.461102,-0.2442369,-0.15735663,0.5748097,-0.6830983,-0.29592344,-0.009888003
0.024736991,3.143655,1.1684792,-0.92803234,-0.56223816,0.007498708,-0.19832438,0.09341388,4.717644,0.0035987298,0.044161085
0.066946134,-1.0952339,-0.4413463,-0.9336035,-0.05703118,-0.15312304,0.5816755,0.2322006,-0.44048113,-0.14802225,0.011859573
-0.025114754,0.11881026,-0.15847196,-0.86644405,0.24839868,-0.6001051,-0.2114911,-0.65207344,-0.5595794,-0.0013565267,-0.0049799094
-0.037292425,-0.029822234,-0.17213075,-0.7842459,0.3875983,-0.42561176,-0.07645601,-0.30241615,-0.4331142,0.0089754835,0.008809916
0.058275823,-0.15848689,0.017857144,-0.7489562,-0.2654148,-0.32710028,-0.09739204,-0.20932989,-0.9577568,0.032075677,0.0645383
-0.07618254,-1.2857062,-0.22418305,-0.51601666,-0.10798471,-0.29898626,-0.18426453,-0.5383751,-0.6999523,0.015506389,0.021100977
-0.29303947,-1.0040574,-0.5109334,-0.37438932,0.47825843,-0.15479627,-0.12315724,-0.4541997,-0.40052322,0.055834983,-0.12620851
